segment,product_name,product_category,total_orders,units_sold,total_revenue
Enterprise,Face-to-face client-driven support,POS Hardware & Software,2501,5120,"$2,446,489.60"
Enterprise,Fundamental value-added paradigm,POS Hardware & Software,2387,4976,"$2,394,301.92"
Enterprise,Realigned directional software,POS Hardware & Software,2452,5110,"$2,374,412.60"
Enterprise,Profound modular array,POS Hardware & Software,2338,4844,"$2,286,222.68"
Enterprise,Realigned dedicated structure,POS Hardware & Software,2402,4896,"$2,281,389.12"
Enterprise,Configurable neutral frame,POS Hardware & Software,2345,4924,"$2,238,450.40"
Enterprise,Static Product 9,POS Hardware & Software,2486,5099,"$2,195,374.45"
Enterprise,Cloned didactic open system,Financial Services,2166,4530,"$2,105,226.90"
Enterprise,Static Product 3,Financial Services,2227,4591,"$1,959,438.80"
Enterprise,Operative directional knowledge user,POS Hardware & Software,2394,4892,"$1,816,497.44"
Mid-Market,Customer-focused background implementation,Apps & Integrations,12308,26938,"$12,170,857.78"
Mid-Market,Diverse maximized implementation,Apps & Integrations,12137,26573,"$10,837,798.05"
Mid-Market,Cross-group didactic emulation,Storefront Tools,6951,14591,"$6,969,828.88"
Mid-Market,Static Product 19,Storefront Tools,6966,14682,"$6,469,770.12"
Mid-Market,Customer-focused systematic support,Storefront Tools,6950,14535,"$5,606,730.90"
Mid-Market,Static Product 28,Apps & Integrations,12166,26476,"$5,379,393.68"
Mid-Market,Static Product 13,Storefront Tools,7007,14693,"$4,772,139.47"
Mid-Market,Static Product 10,Apps & Integrations,12226,26798,"$4,111,617.14"
Mid-Market,Static Product 18,Apps & Integrations,12051,26282,"$3,903,402.64"
Mid-Market,Public-key upward-trending encryption,Apps & Integrations,12178,26700,"$3,735,597.00"
SMB,Cross-group didactic emulation,Storefront Tools,11427,24487,"$11,696,950.16"
SMB,Static Product 19,Storefront Tools,11562,24556,"$10,820,846.96"
SMB,Customer-focused systematic support,Storefront Tools,11257,23999,"$9,257,374.26"
SMB,Static Product 13,Storefront Tools,11396,24132,"$7,837,832.28"
SMB,Static Product 25,Storefront Tools,11505,24405,"$6,269,400.45"
SMB,Cloned 6thgeneration protocol,Marketing & Growth,6398,13060,"$6,125,793.00"
SMB,User-friendly next generation monitoring,Storefront Tools,11363,24126,"$6,003,996.36"
SMB,Multi-lateral directional challenge,Marketing & Growth,6544,13600,"$5,897,912.00"
SMB,Synchronized encompassing standardization,Logistics & Shipping,5754,11896,"$5,158,105.60"
SMB,Static Product 30,Marketing & Growth,6405,13282,"$4,860,547.90"
